id,date,annee,type,pays,latitude,longitude
MLI30452,27-Jun-23,2023,Strategic developments,Mali,16.2717,-0.0447
NIG31744,27-Jun-23,2023,Violence against civilians,Nigeria,8.8672,7.005
NIG31749,27-Jun-23,2023,Battles,Nigeria,11.084,13.6925
NIG31753,27-Jun-23,2023,Battles,Nigeria,12.4517,7.4981
NIG31776,27-Jun-23,2023,Violence against civilians,Nigeria,9.0269,7.6075
NIG31785,27-Jun-23,2023,Violence against civilians,Nigeria,4.6273,7.773
NIG31797,27-Jun-23,2023,Protests,Nigeria,6.7814,7.4365
NIG31802,27-Jun-23,2023,Protests,Nigeria,9.0833,7.5333
NIG31803,27-Jun-23,2023,Protests,Nigeria,7.5705,8.5994
BEN1030,26-Jun-23,2023,Protests,Benin,9.35,2.6167
BFO10118,26-Jun-23,2023,Protests,Burkina Faso,12.05,0.783
BFO10122,26-Jun-23,2023,Explosions/Remote violence,Burkina Faso,14.0875,-1.6418
BFO10123,26-Jun-23,2023,Explosions/Remote violence,Burkina Faso,13.8317,-1.6082
BFO10130,26-Jun-23,2023,Battles,Burkina Faso,13.8317,-1.6082
BFO10131,26-Jun-23,2023,Battles,Burkina Faso,13.1898,-0.9362
BFO10134,26-Jun-23,2023,Battles,Burkina Faso,11.2304,0.1499
BFO10137,26-Jun-23,2023,Battles,Burkina Faso,12.648,0.493
BFO10140,26-Jun-23,2023,Battles,Burkina Faso,11.6927,-3.492
BFO10143,26-Jun-23,2023,Battles,Burkina Faso,9.9,-4.35
BFO10150,26-Jun-23,2023,Violence against civilians,Burkina Faso,13.3714,-0.5504
BFO10173,26-Jun-23,2023,Explosions/Remote violence,Burkina Faso,12.05,0.783
CDI2852,26-Jun-23,2023,Riots,Ivory Coast,5.3464,-4.0663
LBR1712,26-Jun-23,2023,Protests,Liberia,6.31,-10.8
MAA1634,26-Jun-23,2023,Protests,Mauritania,18.0801,-15.9777
MAA1635,26-Jun-23,2023,Protests,Mauritania,18.0801,-15.9777
MLI30415,26-Jun-23,2023,Violence against civilians,Mali,16.2717,-0.0447
MLI30419,26-Jun-23,2023,Explosions/Remote violence,Mali,14.0777,-4.9844
MLI30427,26-Jun-23,2023,Battles,Mali,13.9417,-4.3898
MLI30428,26-Jun-23,2023,Battles,Mali,14.1644,-5.2703
MLI30434,26-Jun-23,2023,Violence against civilians,Mali,16.7705,-3.0056
MLI30440,26-Jun-23,2023,Violence against civilians,Mali,13.9765,-5.4823
MLI30450,26-Jun-23,2023,Strategic developments,Mali,14.8883,-6.1409
MLI30451,26-Jun-23,2023,Strategic developments,Mali,14.3395,-4.1891
NIG31729,26-Jun-23,2023,Protests,Nigeria,9.0833,7.5333
NIG31730,26-Jun-23,2023,Battles,Nigeria,4.7741,6.3269
NIG31731,26-Jun-23,2023,Protests,Nigeria,7.27,6.3464
NIG31732,26-Jun-23,2023,Violence against civilians,Nigeria,9.4833,7.6833
NIG31738,26-Jun-23,2023,Violence against civilians,Nigeria,6.4339,3.3564
NIG31742,26-Jun-23,2023,Violence against civilians,Nigeria,4.8785,6.9415
NIG31747,26-Jun-23,2023,Explosions/Remote violence,Nigeria,12.3611,13.8246
NIG31759,26-Jun-23,2023,Violence against civilians,Nigeria,11.1986,12.614
NIG31764,26-Jun-23,2023,Violence against civilians,Nigeria,9.5206,9.0977
NIG31779,26-Jun-23,2023,Violence against civilians,Nigeria,11.076,9.5647
NIG31783,26-Jun-23,2023,Violence against civilians,Nigeria,9.5206,9.0977
NIG31793,26-Jun-23,2023,Riots,Nigeria,7.296,5.8469
NIG31800,26-Jun-23,2023,Protests,Nigeria,12,8.5167
NIG31801,26-Jun-23,2023,Protests,Nigeria,9.0833,7.5333
NIR30071,26-Jun-23,2023,Battles,Niger,14.7613,0.6381
NIR30072,26-Jun-23,2023,Battles,Niger,13.65,9.1833
NIR30075,26-Jun-23,2023,Violence against civilians,Niger,14.7613,0.6381
NIR30076,26-Jun-23,2023,Violence against civilians,Niger,13.5751,6.5235
NIR30078,26-Jun-23,2023,Strategic developments,Niger,14.565,2.716
BFO10136,25-Jun-23,2023,Battles,Burkina Faso,13.4846,-2.7764
BFO10138,25-Jun-23,2023,Battles,Burkina Faso,12.648,0.493
BFO10139,25-Jun-23,2023,Battles,Burkina Faso,12.0466,1.4068
BFO10144,25-Jun-23,2023,Violence against civilians,Burkina Faso,14.359,0.2553
BFO10149,25-Jun-23,2023,Violence against civilians,Burkina Faso,12.7415,0.1127
BFO10172,25-Jun-23,2023,Explosions/Remote violence,Burkina Faso,12.6565,-3.9156
MLI30417,25-Jun-23,2023,Strategic developments,Mali,14.2092,-5.4608
MLI30426,25-Jun-23,2023,Battles,Mali,14.14,-5.9777
MLI30430,25-Jun-23,2023,Battles,Mali,11.4864,-5.4821
MLI30431,25-Jun-23,2023,Battles,Mali,15.9182,2.4022
MLI30442,25-Jun-23,2023,Strategic developments,Mali,16.629,0.5592
MLI30448,25-Jun-23,2023,Strategic developments,Mali,13.9207,-3.46
MLI30449,25-Jun-23,2023,Riots,Mali,15.8672,0.2237
MLI30454,25-Jun-23,2023,Explosions/Remote violence,Mali,14.23,-4.035
NIG31752,25-Jun-23,2023,Battles,Nigeria,12.2616,7.3341
NIG31754,25-Jun-23,2023,Battles,Nigeria,4.7202,5.9464
NIG31755,25-Jun-23,2023,Battles,Nigeria,5.9896,7.4617
NIG31761,25-Jun-23,2023,Violence against civilians,Nigeria,9.6368,8.7569
NIG31762,25-Jun-23,2023,Violence against civilians,Nigeria,7.8677,8.0949
NIG31763,25-Jun-23,2023,Violence against civilians,Nigeria,9.55,8.7333
NIG31784,25-Jun-23,2023,Violence against civilians,Nigeria,6.4568,3.3415
NIG31788,25-Jun-23,2023,Riots,Nigeria,13.0682,5.2347
NIG31791,25-Jun-23,2023,Riots,Nigeria,6.1516,6.8446
NIR30073,25-Jun-23,2023,Violence against civilians,Niger,13.6669,13.1198
SIE5128,25-Jun-23,2023,Violence against civilians,Sierra Leone,8.4871,-13.2356
TOG8754,25-Jun-23,2023,Strategic developments,Togo,6.374,0.9842
BFO10132,24-Jun-23,2023,Battles,Burkina Faso,11.7205,-3.837
BFO10142,24-Jun-23,2023,Battles,Burkina Faso,10.2552,-4.8816
BFO10148,24-Jun-23,2023,Violence against civilians,Burkina Faso,13.6216,-2.5066
BFO10155,24-Jun-23,2023,Violence against civilians,Burkina Faso,12.2975,0.3386
BFO10157,24-Jun-23,2023,Violence against civilians,Burkina Faso,13.0679,-2.6592
BFO10169,24-Jun-23,2023,Protests,Burkina Faso,12.0731,1.7884
BFO10170,24-Jun-23,2023,Protests,Burkina Faso,11.4909,-3.5217
MLI30436,24-Jun-23,2023,Violence against civilians,Mali,14.9441,-3.8904
MLI30439,24-Jun-23,2023,Violence against civilians,Mali,16.2036,-0.4769
MLI30441,24-Jun-23,2023,Strategic developments,Mali,12.65,-8
MLI30447,24-Jun-23,2023,Strategic developments,Mali,16.6883,-2.8528
NIG31733,24-Jun-23,2023,Violence against civilians,Nigeria,7.45,2.85
NIG31740,24-Jun-23,2023,Violence against civilians,Nigeria,7.45,2.85
NIG31751,24-Jun-23,2023,Battles,Nigeria,10.7563,13.2129
NIG31765,24-Jun-23,2023,Violence against civilians,Nigeria,5.882,7.1641
NIG31782,24-Jun-23,2023,Violence against civilians,Nigeria,5.197,6.5922
BFO10099,23-Jun-23,2023,Violence against civilians,Burkina Faso,13.7511,0.2181
BFO10106,23-Jun-23,2023,Strategic developments,Burkina Faso,14.04,-0.03
MLI30356,23-Jun-23,2023,Battles,Mali,14.0615,-3.7861
MLI30359,23-Jun-23,2023,Battles,Mali,14.41,-5.93
MLI30373,23-Jun-23,2023,Violence against civilians,Mali,16.7705,-3.0056
MLI30377,23-Jun-23,2023,Explosions/Remote violence,Mali,14.0072,-3.0286
NIG31708,23-Jun-23,2023,Violence against civilians,Nigeria,9.55,8.8
NIG31726,23-Jun-23,2023,Protests,Nigeria,8.4833,8.5167
BFO10127,23-Jun-23,2023,Explosions/Remote violence,Burkina Faso,12.4756,1.5116
BFO10129,23-Jun-23,2023,Battles,Burkina Faso,13.0281,-2.5622
BFO10141,23-Jun-23,2023,Battles,Burkina Faso,11.7079,0.1387
BFO10159,23-Jun-23,2023,Strategic developments,Burkina Faso,14.0366,-0.0597
GUI2546,23-Jun-23,2023,Strategic developments,Guinea,9.7056,-13.3769
GUI2547,23-Jun-23,2023,Riots,Guinea,11.4167,-9.1665
MLI30363,23-Jun-23,2023,Battles,Mali,14.5418,-9.1913
MLI30364,23-Jun-23,2023,Battles,Mali,14.4891,-4.1928
MLI30412,23-Jun-23,2023,Violence against civilians,Mali,16.4167,-3.6667
MLI30421,23-Jun-23,2023,Battles,Mali,14.3934,-5.9352
NIG31735,23-Jun-23,2023,Violence against civilians,Nigeria,11.076,9.5647
NIG31737,23-Jun-23,2023,Violence against civilians,Nigeria,5.8558,7.5119
NIG31745,23-Jun-23,2023,Strategic developments,Nigeria,12.9186,13.6283
NIG31750,23-Jun-23,2023,Battles,Nigeria,12.493,13.2091
NIG31757,23-Jun-23,2023,Battles,Nigeria,6.7424,3.2622
NIG31777,23-Jun-23,2023,Violence against civilians,Nigeria,8.3066,5.0387
NIG31798,23-Jun-23,2023,Protests,Nigeria,6.3351,5.6275
NIG31799,23-Jun-23,2023,Protests,Nigeria,6.8561,7.3927
BFO10094,22-Jun-23,2023,Battles,Burkina Faso,13.0281,-2.5622
BFO10097,22-Jun-23,2023,Battles,Burkina Faso,13.5828,-2.4216
BFO10101,22-Jun-23,2023,Violence against civilians,Burkina Faso,12.97,-2.27
GUI2543,22-Jun-23,2023,Battles,Guinea,9.6579,-13.3856
GUI2544,22-Jun-23,2023,Protests,Guinea,9.5091,-13.7122
MLI30348,22-Jun-23,2023,Violence against civilians,Mali,13.9321,-5.0911
MLI30349,22-Jun-23,2023,Violence against civilians,Mali,15.8428,2.4115
MLI30357,22-Jun-23,2023,Battles,Mali,13.5547,-4.1183
MLI30370,22-Jun-23,2023,Violence against civilians,Mali,14.9441,-3.8904
MLI30371,22-Jun-23,2023,Violence against civilians,Mali,14.6489,-4.7641
MLI30376,22-Jun-23,2023,Strategic developments,Mali,14.0121,-5.6042
NIG31676,22-Jun-23,2023,Battles,Nigeria,11.2551,14.1482
NIG31680,22-Jun-23,2023,Battles,Nigeria,7.3588,7.0994
NIG31683,22-Jun-23,2023,Battles,Nigeria,6.9825,7.457
NIG31693,22-Jun-23,2023,Violence against civilians,Nigeria,11.8684,13.2445
NIG31694,22-Jun-23,2023,Violence against civilians,Nigeria,12.1,13.7
NIG31695,22-Jun-23,2023,Violence against civilians,Nigeria,11.8092,13.2891
NIG31696,22-Jun-23,2023,Violence against civilians,Nigeria,10.8367,6.7123
NIG31702,22-Jun-23,2023,Violence against civilians,Nigeria,7.621,5.2215
NIG31712,22-Jun-23,2023,Violence against civilians,Nigeria,7.3588,7.0994
NIG31719,22-Jun-23,2023,Riots,Nigeria,5.0333,7.9266
BFO10098,22-Jun-23,2023,Battles,Burkina Faso,12.0621,0.4331
BFO10147,22-Jun-23,2023,Violence against civilians,Burkina Faso,13.9528,0.2773
NIG31741,22-Jun-23,2023,Violence against civilians,Nigeria,8.4875,4.5235
NIG31760,22-Jun-23,2023,Violence against civilians,Nigeria,6.7814,7.4365
NIG31772,22-Jun-23,2023,Violence against civilians,Nigeria,13.5949,6.1485
NIG31781,22-Jun-23,2023,Violence against civilians,Nigeria,7.1962,5.5868
NIR30077,22-Jun-23,2023,Violence against civilians,Niger,13.2904,6.7233
BFO10089,21-Jun-23,2023,Violence against civilians,Burkina Faso,14.04,-0.03
BFO10090,21-Jun-23,2023,Explosions/Remote violence,Burkina Faso,11.4166,-0.2833
BFO10091,21-Jun-23,2023,Explosions/Remote violence,Burkina Faso,13.6095,-0.6487
BFO10092,21-Jun-23,2023,Battles,Burkina Faso,13.0517,-1.1905
GHA1807,21-Jun-23,2023,Riots,Ghana,6.1256,-0.2123
MAA1627,21-Jun-23,2023,Protests,Mauritania,18.0801,-15.9777
MAA1628,21-Jun-23,2023,Protests,Mauritania,18.0801,-15.9777
MAA1630,21-Jun-23,2023,Protests,Mauritania,20.0508,-15.9674
MAA1631,21-Jun-23,2023,Protests,Mauritania,18.0801,-15.9777
MLI30372,21-Jun-23,2023,Violence against civilians,Mali,14.6264,-2.1611
MLI30404,21-Jun-23,2023,Strategic developments,Mali,14.0531,-4.2444
MLI30405,21-Jun-23,2023,Strategic developments,Mali,14.0427,-4.2456
MLI30409,21-Jun-23,2023,Protests,Mali,16.7705,-3.0056
NIG31660,21-Jun-23,2023,Protests,Nigeria,10.5222,7.4383
NIG31707,21-Jun-23,2023,Violence against civilians,Nigeria,7.0932,4.8353
NIG31717,21-Jun-23,2023,Strategic developments,Nigeria,8.1333,4.2667
NIG31718,21-Jun-23,2023,Strategic developments,Nigeria,6.4602,7.522
NIG31721,21-Jun-23,2023,Protests,Nigeria,8.9731,7.3841
NIG31722,21-Jun-23,2023,Protests,Nigeria,6.5048,4.7839
SIE5124,21-Jun-23,2023,Protests,Sierra Leone,8.7331,-12.7691
SIE5125,21-Jun-23,2023,Protests,Sierra Leone,8.4871,-13.2356
SIE5127,21-Jun-23,2023,Riots,Sierra Leone,8.4871,-13.2356
BFO10119,21-Jun-23,2023,Violence against civilians,Burkina Faso,14.3265,0.0977
BFO10120,21-Jun-23,2023,Violence against civilians,Burkina Faso,13.5881,-0.2654
BFO10154,21-Jun-23,2023,Violence against civilians,Burkina Faso,12.2373,0.2988
MLI30422,21-Jun-23,2023,Battles,Mali,14.3309,-3.4041
MLI30429,21-Jun-23,2023,Battles,Mali,15.1271,0.0132
MLI30438,21-Jun-23,2023,Violence against civilians,Mali,16.1908,-0.0322
MLI30443,21-Jun-23,2023,Strategic developments,Mali,16.1289,-3.7478
MLI30444,21-Jun-23,2023,Strategic developments,Mali,16.7377,-3.7308
MLI30445,21-Jun-23,2023,Strategic developments,Mali,16.5736,-3.3719
MLI30446,21-Jun-23,2023,Strategic developments,Mali,16.2749,-3.9431
NIG31739,21-Jun-23,2023,Violence against civilians,Nigeria,7.5,9.3333
NIG31743,21-Jun-23,2023,Violence against civilians,Nigeria,6.6143,3.3244
NIG31746,21-Jun-23,2023,Strategic developments,Nigeria,11.1767,13.8256
NIG31748,21-Jun-23,2023,Explosions/Remote violence,Nigeria,11.5221,13.6856
NIG31756,21-Jun-23,2023,Battles,Nigeria,5.964,7.2369
NIG31768,21-Jun-23,2023,Violence against civilians,Nigeria,11.7196,7.0272
NIG31786,21-Jun-23,2023,Violence against civilians,Nigeria,6.8144,3.1958
NIG31796,21-Jun-23,2023,Strategic developments,Nigeria,13.4423,5.6723
NIR30063,21-Jun-23,2023,Battles,Niger,12.936,1.8035
NIR30070,21-Jun-23,2023,Battles,Niger,14.7348,2.6818
TOG8755,21-Jun-23,2023,Strategic developments,Togo,6.374,0.9842
TOG8756,21-Jun-23,2023,Strategic developments,Togo,6.374,0.9842
TOG8757,21-Jun-23,2023,Strategic developments,Togo,6.374,0.9842
BFO10093,20-Jun-23,2023,Battles,Burkina Faso,11.1974,0.1597
BFO10110,20-Jun-23,2023,Explosions/Remote violence,Burkina Faso,12.7384,-3.8677
BFO10116,20-Jun-23,2023,Explosions/Remote violence,Burkina Faso,13.9541,-1.6741
GHA1805,20-Jun-23,2023,Violence against civilians,Ghana,6.1167,0.8
GUI2545,20-Jun-23,2023,Riots,Guinea,10.07,-12.85
MAA1625,20-Jun-23,2023,Protests,Mauritania,20.9434,-17.038
MLI30358,20-Jun-23,2023,Battles,Mali,13.932,-5.6566
MLI30374,20-Jun-23,2023,Violence against civilians,Mali,16.1908,-0.0322
MLI30397,20-Jun-23,2023,Strategic developments,Mali,16.6877,-3.9728
NIG31689,20-Jun-23,2023,Violence against civilians,Nigeria,9.4321,9.1
NIG31691,20-Jun-23,2023,Violence against civilians,Nigeria,9.5206,9.0977
NIG31713,20-Jun-23,2023,Violence against civilians,Nigeria,9.6605,8.683
NIR30058,20-Jun-23,2023,Violence against civilians,Niger,13.327,6.8968
SIE5126,20-Jun-23,2023,Riots,Sierra Leone,8.4871,-13.2356
BFO10111,20-Jun-23,2023,Explosions/Remote violence,Burkina Faso,11.0811,0.7233
BFO10117,20-Jun-23,2023,Battles,Burkina Faso,13.7619,-2.1166
BFO10163,20-Jun-23,2023,Strategic developments,Burkina Faso,11.7593,1.6974
MLI30367,20-Jun-23,2023,Violence against civilians,Mali,14.7486,-6.5624
MLI30425,20-Jun-23,2023,Battles,Mali,13.7769,-5.9504
NIG31766,20-Jun-23,2023,Violence against civilians,Nigeria,12.2143,13.2714
NIR30064,20-Jun-23,2023,Violence against civilians,Niger,14.4639,0.6134
NIR30065,20-Jun-23,2023,Violence against civilians,Niger,15.2058,3.546
BFO10095,19-Jun-23,2023,Battles,Burkina Faso,13.2457,-0.8893
BFO10100,19-Jun-23,2023,Violence against civilians,Burkina Faso,12.7667,-2.8833
BFO10103,19-Jun-23,2023,Violence against civilians,Burkina Faso,10.2508,-4.7051
MAA1626,19-Jun-23,2023,Protests,Mauritania,20.9434,-17.038
MAA1629,19-Jun-23,2023,Protests,Mauritania,18.0801,-15.9777
MLI30354,19-Jun-23,2023,Violence against civilians,Mali,14.4025,-4.1288
MLI30360,19-Jun-23,2023,Battles,Mali,14.0531,-4.2444
MLI30401,19-Jun-23,2023,Riots,Mali,16.7705,-3.0056
MLI30410,19-Jun-23,2023,Explosions/Remote violence,Mali,14.68,-6.016
NIG31665,19-Jun-23,2023,Violence against civilians,Nigeria,8.2604,5.7261
NIG31682,19-Jun-23,2023,Battles,Nigeria,5.9077,6.8432
NIG31684,19-Jun-23,2023,Battles,Nigeria,8.3167,4.7
NIG31687,19-Jun-23,2023,Violence against civilians,Nigeria,4.9176,6.8359
NIG31720,19-Jun-23,2023,Protests,Nigeria,7.621,5.2215
NIG31724,19-Jun-23,2023,Protests,Nigeria,5.7902,6.1047
NIG31725,19-Jun-23,2023,Protests,Nigeria,4.7774,7.0134
SIE5121,19-Jun-23,2023,Riots,Sierra Leone,7.9621,-11.7367
SIE5123,19-Jun-23,2023,Riots,Sierra Leone,7.9621,-11.7367
MLI30413,19-Jun-23,2023,Violence against civilians,Mali,14.2046,-4.1077
NIR30067,19-Jun-23,2023,Violence against civilians,Niger,13.1162,7.2966
NIR30069,19-Jun-23,2023,Battles,Niger,14.6666,0.9087
BFO10088,18-Jun-23,2023,Battles,Burkina Faso,14.6387,0.0342
BFO10102,18-Jun-23,2023,Violence against civilians,Burkina Faso,13.6331,-2.4067
BFO10109,18-Jun-23,2023,Protests,Burkina Faso,12.3703,-1.5247
BFO10114,18-Jun-23,2023,Battles,Burkina Faso,11.9333,1.6167
MLI30350,18-Jun-23,2023,Violence against civilians,Mali,14.2347,-6.2041
MLI30351,18-Jun-23,2023,Violence against civilians,Mali,14.213,-6.0843
MLI30352,18-Jun-23,2023,Violence against civilians,Mali,13.991,-4.3567
MLI30353,18-Jun-23,2023,Violence against civilians,Mali,14.2843,-6.0864
MLI30355,18-Jun-23,2023,Battles,Mali,14.2482,-3.6883
MLI30365,18-Jun-23,2023,Battles,Mali,13.8755,-7.1812
MLI30366,18-Jun-23,2023,Battles,Mali,16.7705,-3.0056
MLI30375,18-Jun-23,2023,Violence against civilians,Mali,16.0095,-4.1154
MLI30379,18-Jun-23,2023,Strategic developments,Mali,15.3715,0.2833
MLI30380,18-Jun-23,2023,Strategic developments,Mali,14.4763,-8.0235
MLI30381,18-Jun-23,2023,Strategic developments,Mali,14.4198,-7.9418
MLI30382,18-Jun-23,2023,Strategic developments,Mali,14.5761,-7.9226
MLI30383,18-Jun-23,2023,Strategic developments,Mali,15.3334,-7.6095
MLI30384,18-Jun-23,2023,Strategic developments,Mali,13.2199,-7.2056
MLI30385,18-Jun-23,2023,Strategic developments,Mali,13.3769,-7.1404
MLI30386,18-Jun-23,2023,Strategic developments,Mali,13.2007,-7.2726
MLI30387,18-Jun-23,2023,Strategic developments,Mali,13.3058,-7.295
MLI30388,18-Jun-23,2023,Strategic developments,Mali,13.2561,-7.1667
MLI30389,18-Jun-23,2023,Strategic developments,Mali,14.6191,-8.9442
MLI30390,18-Jun-23,2023,Strategic developments,Mali,13.9219,-3.2204
MLI30391,18-Jun-23,2023,Strategic developments,Mali,13.6107,-7.0391
MLI30392,18-Jun-23,2023,Strategic developments,Mali,14.0047,-7.4252
MLI30393,18-Jun-23,2023,Strategic developments,Mali,13.8386,-7.3359
MLI30394,18-Jun-23,2023,Strategic developments,Mali,13.9526,-5.8183
MLI30395,18-Jun-23,2023,Strategic developments,Mali,14.9995,-7.6689
MLI30396,18-Jun-23,2023,Strategic developments,Mali,15.282,-7.0867
MLI30406,18-Jun-23,2023,Strategic developments,Mali,14.5113,-8.8428
MLI30407,18-Jun-23,2023,Strategic developments,Mali,13.9703,-5.4871
MLI30408,18-Jun-23,2023,Protests,Mali,19.4695,0.856
NIG31667,18-Jun-23,2023,Violence against civilians,Nigeria,8.9167,8.3833
NIG31671,18-Jun-23,2023,Explosions/Remote violence,Nigeria,12.3611,13.8246
NIG31678,18-Jun-23,2023,Battles,Nigeria,13.0978,7.2225
NIG31679,18-Jun-23,2023,Battles,Nigeria,12.7515,7.2447
NIG31709,18-Jun-23,2023,Violence against civilians,Nigeria,7.5258,10.215
NIG31711,18-Jun-23,2023,Violence against civilians,Nigeria,9.5206,9.0977
NIG31714,18-Jun-23,2023,Violence against civilians,Nigeria,9.5333,8.9
NIG31723,18-Jun-23,2023,Protests,Nigeria,5.7902,6.1047
SIE5122,18-Jun-23,2023,Riots,Sierra Leone,7.359,-11.7236
BFO10096,18-Jun-23,2023,Battles,Burkina Faso,12.9876,-1.3441
BFO10104,18-Jun-23,2023,Violence against civilians,Burkina Faso,11.792,0.0703
BFO10128,18-Jun-23,2023,Battles,Burkina Faso,11.4687,-2.383
NIG31688,18-Jun-23,2023,Violence against civilians,Nigeria,5.9529,7.5601
NIG31734,18-Jun-23,2023,Violence against civilians,Nigeria,8.9414,7.0919
NIG31767,18-Jun-23,2023,Violence against civilians,Nigeria,12.4517,7.4981
NIG31790,18-Jun-23,2023,Riots,Nigeria,5.3651,8.3618
NIR30085,18-Jun-23,2023,Strategic developments,Niger,13.8186,5.1313
BFO10107,17-Jun-23,2023,Strategic developments,Burkina Faso,11.9551,1.7694
BFO10108,17-Jun-23,2023,Protests,Burkina Faso,11.4304,-0.7749
BFO10113,17-Jun-23,2023,Explosions/Remote violence,Burkina Faso,13.338,-1.0906
BFO10115,17-Jun-23,2023,Battles,Burkina Faso,12.7226,-0.5413
GUI2542,17-Jun-23,2023,Riots,Guinea,11.4167,-9.1665
MAA1624,17-Jun-23,2023,Protests,Mauritania,18.0801,-15.9777
MAA1632,17-Jun-23,2023,Protests,Mauritania,17.0763,-12.0379
MLI30399,17-Jun-23,2023,Strategic developments,Mali,14.7625,-11.6677
MLI30403,17-Jun-23,2023,Violence against civilians,Mali,16.4167,-3.6667
NIG31666,17-Jun-23,2023,Violence against civilians,Nigeria,6.9219,5.622
NIG31692,17-Jun-23,2023,Violence against civilians,Nigeria,12.4243,13.9368
NIG31698,17-Jun-23,2023,Violence against civilians,Nigeria,11.0886,7.6974
NIG31728,17-Jun-23,2023,Riots,Nigeria,12.1437,6.7429
BFO10112,17-Jun-23,2023,Violence against civilians,Burkina Faso,13.1013,-1.1871
NIG31736,17-Jun-23,2023,Violence against civilians,Nigeria,11.076,9.5647
NIG31773,17-Jun-23,2023,Violence against civilians,Nigeria,13.2568,5.4864
NIG31774,17-Jun-23,2023,Violence against civilians,Nigeria,13.6829,5.4133
NIG31775,17-Jun-23,2023,Violence against civilians,Nigeria,13.6182,5.3617
NIG31778,17-Jun-23,2023,Violence against civilians,Nigeria,11.6667,9.9314
